id,dim0,dim1
0,-2.1513565,4.6028686
1,-2.309451,4.905601
2,-2.4979594,5.1856008
3,-2.538413,5.2507124
4,-2.2479708,4.8269496
5,-2.518971,5.243756
6,-2.2184343,4.8271847
7,-2.9508202,6.0243535
8,-2.2876751,4.8120112
9,-2.5022235,5.226865
10,-3.8861394,7.7543817
11,-3.4040155,6.8345532
12,-2.6473434,5.400122
13,-4.082267,8.07122
14,-2.8060331,5.5939775
15,-2.306777,4.6452107
16,-2.3535297,4.7250557
17,-2.7929451,5.526441
18,-4.55767,8.907684
19,-2.4089856,5.195556
20,-2.6276805,5.491159
21,-2.4068804,5.186005
22,-2.436147,5.258212
23,-2.6657538,5.5794377
24,-3.157892,6.4758825
25,-2.462454,5.3005376
26,-2.475712,5.3475194
27,-2.4837494,5.2531114
28,-2.4222295,5.16944
29,-2.7267053,5.384467
30,-3.058266,6.127569
31,-2.5347714,5.403519
32,-2.6432734,5.6124806
33,-2.5207353,5.3848515
34,-2.5957582,5.551233
35,-2.6016462,5.5738587
36,-2.6754174,5.692047
37,-2.7713044,5.856466
38,-2.6306586,5.5799065
39,-2.993878,6.120942
40,-2.6216602,5.6212893
41,-5.7231336,11.404384
42,-2.654792,5.664259
43,-2.6246305,5.618498
44,-2.7698748,5.8258357
45,-2.737212,5.8088107
46,-2.8147883,5.945879
47,-3.129749,6.4821644
48,-2.6921294,5.761323
49,-2.8436985,5.960532
50,-2.9514196,5.9049253
51,-2.7624109,5.5737066
52,-2.9476407,6.1529408
53,-2.9830382,6.301597
54,-2.9262009,6.109699
55,-2.9916146,6.209682
56,-3.1446922,6.5099964
57,-2.9448571,6.0980525
58,-3.0105312,6.233682
59,-2.9602008,6.1781025
60,-3.0622952,6.4034314
61,-3.0323422,6.3024955
62,-3.0154164,6.273377
63,-3.0603979,6.370526
64,-3.0643954,6.368632
65,-2.857647,5.80636
66,-4.348624,8.807375
67,-3.3128026,6.873945
68,-3.9013205,7.9810057
69,-3.1060004,6.468091
70,-3.199232,6.5513706
71,-3.4324946,6.9288898
72,-3.877856,7.7871337
73,-4.668469,9.43093
74,-3.8208578,7.6525574
75,-4.5843644,9.361645
76,-4.9532433,10.189961
77,-5.494187,11.384308
78,-3.2235928,6.717276
79,-3.2676065,6.766631
80,-3.2176428,6.681938
81,-3.3661952,6.964381
82,-3.4396327,7.1137385
83,-3.2789595,6.8052197
84,-3.365496,6.9899473
85,-3.313345,6.907072
86,-5.859385,12.062337
87,-3.7761574,7.7628036
88,-3.3306108,6.885935
89,-3.6113346,7.401764
90,-4.2706046,8.624628
91,-4.6373076,9.507373
92,-5.2694454,10.64353
93,-3.6250706,7.519767
94,-3.6086235,7.501887
95,-4.3975344,8.957404
96,-3.4939451,7.307858
97,-6.37568,12.77754
98,-3.8916144,7.8529468
99,-9.79372,19.903978
100,-4.5708055,9.212767
101,-6.080153,12.417032
102,-3.6247668,7.5822816
103,-7.542992,15.066888
104,-3.7145538,7.7434225
105,-3.7212715,7.7481685
106,-3.6735704,7.6789427
107,-3.680729,7.695703
108,-3.977214,8.21329
109,-3.75528,7.8404746
110,-3.8328757,7.9499846
111,-3.8259318,7.8294144
112,-3.8343093,7.941375
113,-5.0639358,10.210255
114,-3.8930657,8.06677
115,-4.1535373,8.486849
116,-4.1114197,8.467207
117,-3.922007,8.120049
118,-4.690157,9.43441
119,-3.9062872,8.103017
120,-4.7076406,9.416742
121,-4.981209,10.042472
122,-4.597936,9.358588
123,-3.869126,8.066573
124,-4.1572356,8.566968
125,-4.2958813,8.826838
126,-4.1916656,8.66229
127,-4.0870614,8.440688
128,-4.078436,8.457515
129,-4.080914,8.467887
130,-5.049431,10.238879
131,-7.155905,14.5357685
132,-5.7546606,11.6144085
133,-6.104933,12.581611
134,-4.05705,8.502586
135,-4.1424356,8.499732
136,-4.295989,8.905976
137,-4.16353,8.636002
138,-6.2519193,12.856363
139,-4.2230144,8.767672
140,-4.3018613,8.925727
141,-4.2993975,8.926092
142,-4.3450594,8.820827
143,-4.522227,9.289861
144,-4.79372,9.813862
145,-4.561819,9.402817
146,-4.81285,9.884616
147,-4.498625,9.290486
148,-4.316734,8.990219
149,-4.7137856,9.586449
150,-4.468378,9.261247
151,-4.4269986,9.212867
152,-4.3263817,9.029633
153,-5.050796,10.355358
154,-5.6576505,11.35263
155,-5.732247,11.5712385
156,-6.1090117,12.253968
157,-4.605065,9.417248
158,-4.7175245,9.640893
159,-4.549319,9.409236
160,-4.6319747,9.613738
161,-4.7173414,9.744398
162,-4.9393573,10.173273
163,-4.613488,9.584279
164,-4.690398,9.758289
165,-4.7257524,9.785461
166,-4.8104434,9.950548
167,-4.584344,9.586433
168,-4.806195,9.953255
169,-4.8478036,10.018947
170,-4.917075,10.16131
171,-4.868701,10.068462
172,-4.8107667,9.988107
173,-5.048605,10.432076
174,-4.9159203,10.206419
175,-5.0146165,10.237666
176,-8.216313,16.663652
177,-6.253246,12.57042
178,-5.1848383,10.514953
179,-4.9887543,10.157615
180,-6.8823957,13.928844
181,-4.9445143,10.181138
182,-4.9422,10.234677
183,-5.3502774,10.970357
184,-5.0090623,10.435304
185,-5.1993685,10.779676
186,-4.9231644,10.300549
187,-5.120138,10.626323
188,-5.094691,10.570038
189,-4.983045,10.417796
190,-5.225954,10.810463
