id,dim0,dim1,dim2,dim3
0,8.24965,-23.700962,8.780536,0.40142122
1,-0.8252107,1.0702728,-0.4951327,1.1682905
2,-0.7093779,0.6149726,0.45252463,-0.25369367
3,-0.91215986,0.4392944,1.1231736,-1.281036
4,-1.3559016,1.0131172,-0.057864264,-1.1141925
5,-1.3889866,0.8699822,0.81007564,-1.6264375
6,-1.9472365,1.4923133,-0.16375285,-1.6975313
7,-1.4516666,0.38834625,3.536612,-3.190849
8,-1.2022741,-0.31196478,6.1430855,-4.350843
9,-1.9101794,0.70417297,3.741098,-3.8004525
10,13.949921,-44.14728,36.33763,-16.892405
11,-0.1343645,-3.5997407,17.523031,-9.83001
12,-1.8167734,-0.45279187,9.31774,-6.7597876
13,2.6338317,-8.59238,28.059155,-13.684369
14,-1.466834,-2.2227473,17.023378,-10.609312
15,-1.9826573,-0.818047,11.857405,-8.333588
16,-2.1281042,-0.8599931,12.6531105,-8.928073
17,-1.2737939,-3.4844725,22.192202,-13.406571
18,10.04112,-34.525063,50.814022,-25.371645
19,-5.5347276,3.905254,1.7351854,-6.6312885
20,-4.6192927,2.3161438,6.2558103,-8.119343
21,-5.6369476,3.5862463,3.783164,-7.8661757
22,-6.1969137,4.2085524,2.8163054,-7.942956
23,-6.094821,3.8106701,4.4550943,-8.731636
24,-5.5641613,2.8145401,7.4610267,-9.80576
25,-7.1107855,4.8912873,2.9500399,-9.007682
26,-7.4672585,5.197421,2.7974515,-9.310623
27,-6.8766546,4.081084,6.1824427,-10.527764
28,-7.5516872,4.859689,4.870761,-10.5401125
29,-2.9169083,-3.1181262,27.41008,-17.882877
30,-4.1886683,-0.7861084,20.490376,-15.46465
31,-6.455363,2.6033344,12.101011,-13.319083
32,-8.021679,4.6513557,7.8162622,-12.666533
33,-8.8334255,5.628094,6.030966,-12.567246
34,-9.285254,6.072408,5.548113,-12.792364
35,-9.699083,6.474612,5.1302576,-13.011934
36,-7.110154,2.4100778,15.705939,-16.007883
37,-8.274323,3.953196,12.413712,-15.463832
38,-10.411561,6.852785,6.026929,-14.276925
39,-7.56612,2.4485288,17.326538,-17.391935
40,-10.971231,7.2331033,6.3031993,-15.035657
41,-5.2609425,-2.1666272,31.865074,-22.870638
42,-11.588651,7.701324,6.3577666,-15.735354
43,-11.350645,7.1109395,8.444408,-16.622398
44,-12.081795,7.978097,6.901168,-16.568533
45,-11.991263,7.606744,8.449651,-17.32019
46,-12.565424,8.239589,7.485211,-17.413694
47,-11.992698,7.177325,10.663449,-18.536757
48,-13.449052,9.117539,6.4945316,-17.828497
49,-13.43832,8.862894,7.7611284,-18.512009
50,-8.877235,1.8120031,25.828068,-23.480114
51,-9.849874,3.0926867,23.121494,-23.049726
52,-14.031194,9.055406,9.135515,-19.909443
53,-14.110159,8.949348,9.995756,-20.467232
54,-14.559002,9.391164,9.513847,-20.689629
55,-14.911203,9.6886,9.388952,-21.003136
56,-14.885639,9.433335,10.59958,-21.63984
57,-15.0240965,9.413028,11.256144,-22.150377
58,-15.394674,9.736517,11.070559,-22.450506
59,-16.11359,10.57803,9.610409,-22.428976
60,-16.428894,10.814146,9.653673,-22.794748
61,-16.629715,10.890378,10.062523,-23.23698
62,-16.906197,11.076137,10.209913,-23.617788
63,-17.313671,11.459806,9.86202,-23.868864
64,-17.03654,10.825656,12.017669,-24.751337
65,-13.838874,5.9760585,24.20262,-27.970179
66,-13.03061,4.507113,28.532734,-29.469929
67,-18.314268,12.0176735,10.983669,-25.569868
68,-15.33534,7.506783,22.299267,-28.548853
69,-18.479467,11.825477,12.63074,-26.65304
70,-17.040081,9.529045,18.698988,-28.422125
71,-14.398984,5.432001,29.233791,-31.339045
72,-14.090054,4.7180324,31.673069,-32.342693
73,-14.213682,4.742985,32.037773,-32.676964
74,-14.467076,4.7867975,32.822983,-33.382786
75,-18.633455,10.783911,18.600565,-30.096529
76,-23.38828,17.305475,4.02802,-27.25643
77,-25.552135,20.062555,-1.5198247,-26.558834
78,-21.46768,14.245219,12.104877,-29.60591
79,-20.816885,13.064811,15.579295,-30.806839
80,-21.75091,14.208673,13.422271,-30.636179
81,-21.177715,13.15886,16.534618,-31.722567
82,-21.81572,13.866619,15.439569,-31.813644
83,-22.237833,14.265757,15.070522,-32.06899
84,-22.861189,14.952449,14.025374,-32.171566
85,-23.18242,15.206188,14.001667,-32.50701
86,-22.41113,13.86998,17.796692,-33.753193
87,-21.960222,13.007117,20.435389,-34.712276
88,-23.548319,15.054841,16.239035,-34.131866
89,-22.76229,13.7166605,19.98542,-35.335365
90,-18.48573,7.3291373,35.775955,-39.36274
91,-23.697884,14.668499,18.822044,-35.711754
92,-18.489521,6.9414835,37.7844,-40.46916
93,-25.208319,16.397642,15.954124,-35.776196
94,-25.818052,17.072355,14.91626,-35.867992
95,-21.393587,10.479552,31.172525,-39.990532
96,-26.553314,17.72233,14.506173,-36.440502
97,-17.726898,4.5093527,47.249237,-44.836533
98,-20.997242,9.262063,35.852314,-42.12903
99,-22.26437,10.867417,32.650654,-41.74637
100,-20.319792,7.793926,40.699944,-44.05471
101,-22.957237,11.45382,32.398403,-42.35952
102,-28.102879,18.661917,15.85421,-38.86125
103,-18.308487,3.8579953,52.917805,-48.578526
104,-28.570635,18.905052,16.46933,-39.706253
105,-28.771873,18.974213,16.916216,-40.169815
106,-29.178785,19.360455,16.552855,-40.41179
107,-29.569359,19.71489,16.287884,-40.69004
108,-27.996668,17.209366,22.8997,-42.61285
109,-29.974552,19.862885,17.14274,-41.598747
110,-29.593672,19.093458,19.580246,-42.523376
111,-26.423664,14.2913885,31.631113,-45.69863
112,-30.187513,19.523232,19.738499,-43.254406
113,-22.734068,8.432692,47.043125,-50.15497
114,-30.681244,19.807568,20.245348,-44.06816
115,-26.52121,13.589456,35.629448,-47.99887
116,-30.52228,19.147274,23.006666,-45.41123
117,-31.09299,19.757092,22.14688,-45.558434
118,-23.912117,9.179715,47.899784,-51.90303
119,-31.839998,20.406712,21.785463,-46.170395
120,-22.306084,6.242,56.600956,-54.936382
121,-25.536116,10.897172,45.54483,-52.372192
122,-29.103167,15.809463,34.510563,-50.185577
123,-33.790764,22.378279,19.426956,-46.992065
124,-32.61444,20.456089,24.619911,-48.566124
125,-30.828592,17.658466,31.883646,-50.6155
126,-33.953228,21.960209,22.22455,-48.70372
127,-32.41392,19.53091,28.577547,-50.5207
128,-34.800316,22.754606,21.517817,-49.234726
129,-34.775497,22.505472,22.699883,-49.856564
130,-29.948788,15.345,40.27102,-54.264412
131,-28.23887,12.661466,47.25093,-56.240387
132,-29.127073,13.739284,45.250782,-56.106125
133,-40.3239,29.453785,9.097649,-48.409843
134,-37.056046,24.746487,20.270996,-50.99734
135,-34.34049,20.582483,30.853174,-53.859497
136,-36.4863,23.475693,24.533392,-52.71866
137,-35.770535,22.233648,28.065636,-53.880844
138,-39.849766,27.79326,15.745323,-51.544
139,-37.35609,24.087112,24.858034,-53.84034
140,-36.901947,23.221989,27.495459,-54.79522
141,-37.749905,24.233158,25.677513,-54.717293
142,-32.034477,15.773189,46.386646,-59.883347
143,-36.78509,22.39951,31.258657,-56.73384
144,-35.905045,20.935043,35.2795,-57.985985
145,-36.826324,22.052124,33.209366,-57.849182
146,-38.386547,24.08075,29.000044,-57.231422
147,-39.27985,25.152874,27.0495,-57.129906
148,-40.026173,26.019169,25.57122,-57.12816
149,-33.98033,17.102123,47.31299,-62.502537
150,-40.433838,26.174679,26.39728,-58.023743
151,-41.202152,27.07484,24.832544,-57.998394
152,-41.220093,26.890285,25.853073,-58.577957
153,-39.547626,24.257317,32.722324,-60.53383
154,-32.69557,14.195469,57.13564,-66.49989
155,-35.46299,17.949465,48.868546,-64.9646
156,-32.766327,13.819856,59.349213,-67.791534
157,-36.592773,19.13621,47.271667,-65.31372
158,-38.920853,22.287374,40.35233,-64.04154
159,-41.8754,26.326546,31.365088,-62.313995
160,-43.108192,27.893705,28.222895,-61.926727
161,-41.651398,25.577587,34.32296,-63.69439
162,-42.44686,26.519304,32.65279,-63.640625
163,-44.050003,28.609661,28.29721,-62.98915
164,-44.58664,29.176098,27.52461,-63.14724
165,-43.12851,26.856514,33.637184,-64.92032
166,-44.040226,27.957453,31.611895,-64.79776
167,-45.906124,30.45396,26.215723,-63.8602
168,-45.152565,29.132132,30.007502,-65.123825
169,-44.245857,27.614403,34.195885,-66.438995
170,-45.213634,28.794542,31.986946,-66.27646
171,-45.829983,29.468071,30.981522,-66.393234
172,-44.659935,27.56416,36.105522,-67.93625
173,-46.320553,29.749851,31.488903,-67.20386
174,-46.185577,29.324303,33.13884,-67.96298
175,-42.347847,23.599789,47.27014,-71.55573
176,-43.1104,24.46077,45.883907,-71.62211
177,-38.90795,18.234436,61.141144,-75.43718
178,-42.321766,22.91914,50.666027,-73.39122
179,-41.989517,22.229984,52.884735,-74.24852
180,-43.345196,23.984694,49.26822,-73.73424
181,-43.92628,24.589777,48.474155,-73.92876
182,-47.473278,29.48139,37.466232,-71.73485
183,-46.65442,28.10228,41.29216,-72.946396
184,-50.40303,33.27615,29.636866,-70.61589
185,-49.30108,31.463736,34.561943,-72.1236
186,-51.170525,33.971138,29.123867,-71.16688
187,-50.24472,32.410557,33.456467,-72.54049
188,-50.813164,33.01533,32.613544,-72.69449
189,-51.24386,33.41515,32.27523,-72.976
190,-50.533665,32.180737,35.79045,-74.134895
191,-52.30636,34.531616,30.771402,-73.30321
192,-50.532032,31.75479,37.97416,-75.33162
193,-49.919613,30.667233,41.124176,-76.39613
194,-47.046677,26.311108,52.066643,-79.28531
195,-47.898636,27.32283,50.26184,-79.21893
196,-51.298664,32.009815,39.720028,-77.121414
197,-51.728584,32.41189,39.367004,-77.39403
198,-52.31404,33.048546,38.42801,-77.51375
199,-54.359844,35.778587,32.548424,-76.50603
200,-52.335854,32.65869,40.519665,-78.685394
201,-52.12872,32.140457,42.358395,-79.46986
202,-53.1411,33.405556,39.89043,-79.21355
203,-53.56561,33.78945,39.609303,-79.51974
204,-54.739033,35.25831,36.735847,-79.21556
205,-51.71133,30.67849,48.211357,-82.2294
206,-50.62611,28.920233,52.924667,-83.63903
207,-52.724983,31.712856,46.934906,-82.62841
208,-56.00787,36.23413,36.77806,-80.615105
209,-53.41349,32.27961,46.76632,-83.282745
210,-52.949787,31.418957,49.34263,-84.19371
211,-49.048294,25.558811,63.9171,-87.960526
212,-52.956512,30.989525,51.577587,-85.42763
213,-56.902035,36.44596,39.254604,-82.94427
214,-55.586998,34.37333,44.667946,-84.48881
215,-54.210392,32.148987,50.6159,-86.25998
216,-46.886734,21.438568,76.48349,-92.512634
217,-51.250156,27.472176,62.859207,-89.7684
218,-57.050087,35.599213,44.199005,-85.818535
219,-48.810696,23.549923,73.299324,-92.85208
220,-56.758835,34.76376,47.333447,-87.222885
221,-58.899055,37.61934,41.184868,-86.16995
222,-50.376312,25.135159,71.391426,-93.50327
223,-60.326794,39.25694,38.45787,-86.22202
224,-50.181065,24.461683,74.07583,-94.76477
225,-60.200367,38.65073,41.070858,-87.51898
226,-59.427757,37.326965,44.796623,-88.72572
227,-58.53885,35.828648,48.956184,-90.04439
228,-61.569145,39.97173,39.736713,-88.271545
229,-61.74099,40.015377,40.197575,-88.7109
230,-61.49431,39.438118,42.182102,-89.532486
231,-60.664658,38.04155,46.054768,-90.757965
232,-62.567818,40.55603,40.714775,-89.891655
233,-62.02252,39.566517,43.628296,-90.899185
234,-62.297108,39.752228,43.76838,-91.27393
235,-62.413795,39.69491,44.528458,-91.817665
236,-59.00597,34.587517,57.2009,-95.076096
237,-57.029106,31.505205,65.16679,-97.30363
238,-64.3581,41.85344,41.182846,-92.090576
239,-62.688194,39.251297,47.903755,-93.967804
240,-64.95487,42.301495,41.25876,-92.77959
241,-71.27627,50.888298,22.313944,-89.23919
242,-62.74218,38.673737,51.088875,-95.774475
243,-56.226795,29.09302,74.37079,-101.484795
244,-66.43463,43.563053,40.67282,-94.06319
245,-71.197464,49.998833,26.57329,-91.49138
246,-71.15904,49.774887,27.571638,-91.997635
247,-66.77811,43.41635,42.796883,-95.60153
248,-66.77382,43.198162,43.901733,-96.20326
249,-67.882416,44.565327,41.292618,-95.97385
250,-68.52186,45.29247,40.10363,-96.01492
251,-72.84018,51.07747,27.577845,-93.82466
252,-67.01528,42.690376,47.475662,-98.42669
253,-60.2021,32.670116,71.83016,-104.40265
254,-62.802444,36.194687,64.07651,-102.96791
255,-67.997574,43.493896,47.261158,-99.3745
256,-62.577328,35.428707,67.11745,-104.392685
257,-64.274185,37.702766,62.19099,-103.52956
258,-64.15397,37.286705,63.850983,-104.31021
259,-66.71475,40.77805,56.110405,-102.83973
260,-67.46119,41.624474,54.734726,-102.89442
261,-66.025894,39.362186,60.643745,-104.58055
262,-70.69866,45.86597,45.83541,-101.522026
263,-72.38551,48.109344,41.02683,-100.71273
