id,dim0,dim1
0,0.007581033,-0.17439565
1,0.0040769503,-0.03585227
2,-0.00680615,-0.013545245
3,0.00458131,0.0103762
4,0.015355177,0.0084543675
5,-0.00057465583,0.016487584
6,0.04573496,0.0065568388
7,-0.0049447566,0.05021642
8,0.017277017,-0.030981302
9,0.042986747,-0.050038204
10,0.00859084,-0.023124754
11,0.043134414,0.080920875
12,0.015962653,0.0025776774
13,0.041958354,0.11437395
14,0.03414356,0.052925512
15,-0.008958884,-0.017169058
16,-0.0042192414,-0.00976938
17,0.06607153,0.061067253
18,-0.06297503,-0.05471316
19,0.024092235,0.006521046
20,-0.004711993,0.005636409
21,-0.0015826225,-0.010461569
22,0.011097483,-0.0004388392
23,-5.4858625e-05,0.01937583
24,-0.025673702,0.034406394
25,0.008676648,0.0022393763
26,0.024110653,0.0041570663
27,0.0013656691,-0.01817137
28,0.020364664,-0.012364477
29,0.0407876,0.0075871944
30,-0.020527937,0.0119215995
31,0.0054837465,-0.005689949
32,-0.004961796,-0.0019156635
33,0.014954083,-0.014689237
34,-0.0015631393,-0.005692214
35,-0.00046976656,0.0015457869
36,0.061253905,0.03328392
37,0.01858472,0.020514876
38,0.012977533,-0.012808114
39,-0.009151392,0.024461955
40,-0.0011455193,-0.0029108226
41,-0.02589015,-0.06451997
42,-6.1146915e-05,0.0014410913
43,-0.0032533482,-0.0046572387
44,0.004166566,-0.012563735
45,-0.0021293685,0.003877312
46,-0.0025661364,0.0038832724
47,-0.003310509,0.018533558
48,0.0005283281,-0.003919333
49,0.0036593005,-0.013956159
50,-0.010409363,0.015803128
51,0.0013446137,-0.04288158
52,-0.00012322515,0.013229102
53,-0.0052391514,-0.0009061992
54,0.0018268153,-0.013728052
55,0.003878437,-0.008631796
56,0.0041949674,0.0011372268
57,0.0013309941,-0.011350721
58,0.0026449487,-0.008302301
59,0.0022542402,-0.015614361
60,-0.010811485,-0.0126867
61,0.003361307,-0.010731667
62,0.002719216,-0.013356954
63,0.003460072,-0.011353761
64,0.0007988438,-0.017740816
65,-0.019024722,-0.044594258
66,-0.03317461,0.03524813
67,0.00058256835,-0.023633271
68,-0.009623036,0.003378898
69,-0.0014968589,-0.047171444
70,-0.00081638247,-0.04463795
71,0.0037373826,-0.019124418
72,-0.0072658285,0.02065739
73,-0.04757426,0.0004067719
74,-0.0041815266,0.016644388
75,-0.031651326,0.03756544
76,-0.02369041,0.041241974
77,-0.0073513165,0.034484714
78,0.002510868,-0.012970954
79,0.0031539723,-0.00756374
80,0.0014978871,-0.012376577
81,-0.0011892989,-0.011303097
82,0.0028323457,0.0011099279
83,0.00030072778,-0.011410743
84,0.0020945296,-0.0071640313
85,0.0005769953,-0.014213115
86,0.009270035,-0.04837814
87,0.009693228,-0.0209153
88,0.027119242,-0.058957487
89,-0.0059831813,-0.068054825
90,-0.009478584,-0.001311332
91,-0.035281844,0.03852734
92,-0.04002182,0.0118020475
93,-0.000902988,-0.023708135
94,-0.00015095621,-0.026658684
95,-0.02427978,-0.016501337
96,1.295656e-05,-0.039459735
97,-0.0014111176,-0.059449226
98,-0.001690954,-0.044631988
99,0.06416672,-0.20383456
100,0.004094653,0.020821422
101,0.024440818,-0.05324772
102,0.013004623,-0.05236152
103,0.020062707,-0.15261301
104,-0.0015641227,-0.030563623
105,-0.0017252937,-0.034200102
106,-0.0013279691,-0.036580116
107,-0.00033388287,-0.0388259
108,-0.00420887,-0.020034105
109,-0.0015316978,-0.033153445
110,0.0025573596,-0.045669705
111,0.028658353,-0.051968366
112,0.004075967,-0.044768363
113,-0.019001357,-0.03398624
114,0.003511928,-0.04427579
115,0.0037804618,-0.037428647
116,0.0058117732,-0.031951338
117,0.0021178946,-0.052177817
118,0.0060175285,0.0020354688
119,0.0012337789,-0.051500708
120,0.0107965395,-0.034845978
121,0.0034068823,0.04175219
122,0.0032862648,-0.014205962
123,0.0019837841,-0.055782348
124,0.006137155,-0.03190568
125,0.0072683915,-0.02298966
126,0.006109558,-0.02964893
127,-0.0049543157,-0.06914058
128,0.004222594,-0.04126957
129,-0.001257278,-0.053742796
130,0.0018338785,-0.030624539
131,0.046271347,-0.07374516
132,-0.015634336,0.013555855
133,0.010846518,0.0023696125
134,-0.00054643303,-0.03644362
135,-0.005141236,-0.064809114
136,-0.0048881546,-0.035429984
137,-0.0105435625,-0.027561933
138,0.0029626712,-0.026431352
139,-0.00706587,-0.04443887
140,-6.619841e-05,0.00552842
141,0.0021538362,0.0058119
142,0.014855854,-0.00017049909
143,-0.004889585,-0.06321505
144,0.0026043877,-0.0049166977
145,-0.0030346885,0.0014798343
146,-0.0027525201,-0.0043247044
147,-0.00056216866,-0.02348426
148,0.0010174736,-0.0010941327
149,0.00037702173,-0.0011891425
150,-0.0040894523,-0.033270866
151,-0.0054645315,-0.041110784
152,-0.0031537786,-0.006988555
153,0.01540079,-0.034249574
154,0.0008408651,0.03768
155,-0.024271019,0.0040032566
156,0.008806124,0.086273044
157,0.0023336336,-0.064558536
158,-0.019250669,-0.0074203312
159,-0.0021031275,-0.014310628
160,-0.0056033507,-0.03357032
161,0.002819918,0.0009712875
162,0.0017999038,0.032580107
163,-0.006622173,-0.037390977
164,-0.0057630315,-0.038460284
165,-0.009364523,-0.03575924
166,-0.004021086,-0.02523306
167,-0.0009422079,-0.00332883
168,-0.00323949,-0.025670558
169,-0.00532607,-0.03002575
170,-0.0021301284,-0.018359214
171,-0.0017040744,-0.0218952
172,-0.004554428,-0.032521278
173,-0.0014590994,-0.015782624
174,0.016635679,-0.012280971
175,-0.008687712,0.008461207
176,-0.0034551397,-0.07670763
177,-0.004921697,0.047424287
178,-0.004298009,-0.031999618
179,-0.015699841,-0.008611947
180,-0.03458301,0.031253546
181,0.011046313,-0.033011943
182,-0.00019929558,-0.010329753
183,-0.0060345307,-0.012481719
