,id,time,scoreClose,scoreFar,ability
0,2,"[2, 210, 183, 241, 29, 199, 205, 61, 168, 134]","[2, 148, 147, 146, 145, 143, 142, 141, 134, 132]","[132, 134, 141, 142, 143, 145, 146, 147, 148, 2]","[2, 140, 38, 31, 66, 145, 244, 119, 72, 76]"
1,3,"[3, 193, 156, 13, 101, 222, 200, 164, 71, 49]","[3, 113, 6, 164, 211, 205, 31, 5, 221, 74]","[74, 221, 5, 31, 205, 211, 164, 6, 113, 3]","[3, 11, 130, 246, 42, 227, 6, 119, 5, 218]"
2,4,"[4, 103, 6, 135, 155, 91, 95, 89, 233, 222]","[4, 74, 35, 214, 188, 31, 196, 11, 20, 110]","[110, 20, 11, 196, 31, 188, 214, 35, 74, 4]","[4, 188, 190, 209, 255, 165, 177, 113, 116, 226]"
3,5,"[5, 212, 269, 103, 161, 146, 95, 214, 266, 145]","[5, 31, 23, 13, 38, 3, 4, 20, 89, 127]","[127, 89, 20, 4, 3, 38, 13, 23, 31, 5]","[5, 113, 244, 234, 246, 31, 190, 209, 38, 119]"
4,6,"[6, 135, 174, 155, 89, 4, 180, 138, 102, 189]","[6, 221, 218, 68, 212, 113, 124, 205, 198, 74]","[74, 198, 205, 124, 113, 212, 68, 218, 221, 6]","[6, 218, 191, 46, 36, 19, 42, 68, 203, 114]"
5,8,"[8, 16, 235, 218, 46, 260, 208, 119, 256, 191]","[8, 47, 262, 231, 48, 230, 57, 270, 181, 265]","[265, 181, 270, 57, 230, 48, 231, 262, 47, 8]","[8, 108, 47, 150, 48, 157, 231, 262, 135, 57]"
6,9,"[9, 103, 219, 247, 268, 236, 100, 222, 235, 261]","[9, 234, 225, 258, 196, 130, 216, 190, 183, 11]","[11, 183, 190, 216, 130, 196, 258, 225, 234, 9]","[9, 226, 156, 169, 255, 22, 116, 179, 136, 165]"
7,10,"[10, 73, 82, 59, 137, 225, 22, 203, 160, 123]","[10, 33, 82, 261, 270, 237, 265, 181, 268, 57]","[57, 268, 181, 265, 237, 270, 261, 82, 33, 10]","[10, 261, 118, 266, 230, 270, 79, 265, 93, 24]"
8,11,"[11, 50, 42, 264, 144, 102, 190, 127, 221, 138]","[11, 196, 188, 125, 130, 138, 214, 35, 116, 186]","[186, 116, 35, 214, 138, 130, 125, 188, 196, 11]","[11, 3, 130, 227, 6, 246, 42, 218, 191, 119]"
9,13,"[13, 102, 57, 71, 156, 145, 245, 138, 49, 194]","[13, 31, 5, 38, 59, 23, 188, 4, 221, 91]","[91, 221, 4, 188, 23, 59, 38, 5, 31, 13]","[13, 73, 248, 27, 25, 161, 60, 90, 20, 236]"
10,16,"[16, 256, 218, 121, 119, 263, 175, 235, 52, 27]","[16, 156, 269, 60, 129, 126, 214, 116, 38, 11]","[11, 38, 116, 214, 126, 129, 60, 269, 156, 16]","[16, 167, 225, 171, 23, 88, 187, 130, 227, 216]"
11,18,"[18, 215, 27, 121, 221, 263, 208, 233, 237, 236]","[18, 226, 260, 129, 32, 60, 16, 123, 183, 258]","[258, 183, 123, 16, 60, 32, 129, 260, 226, 18]","[18, 122, 164, 131, 260, 247, 27, 257, 102, 35]"
12,19,"[19, 25, 46, 62, 215, 37, 27, 214, 213, 75]","[137, 145, 78, 77, 76, 75, 146, 147, 72, 71]","[71, 72, 147, 146, 75, 76, 77, 78, 145, 137]","[19, 36, 68, 114, 239, 191, 46, 143, 200, 98]"
13,20,"[20, 78, 87, 245, 185, 39, 183, 216, 207, 136]","[20, 27, 89, 74, 229, 171, 221, 29, 207, 209]","[209, 207, 29, 221, 171, 229, 74, 89, 27, 20]","[20, 136, 161, 169, 236, 179, 116, 226, 269, 25]"
14,21,"[21, 39, 196, 146, 165, 224, 220, 120, 144, 99]","[21, 121, 154, 256, 16, 18, 129, 260, 156, 269]","[269, 156, 260, 129, 18, 16, 256, 154, 121, 21]","[21, 221, 154, 185, 129, 256, 121, 102, 126, 164]"
15,22,"[22, 225, 49, 115, 216, 82, 76, 83, 245, 116]","[22, 173, 176, 171, 224, 158, 140, 165, 207, 27]","[27, 207, 165, 140, 158, 224, 171, 176, 173, 22]","[22, 156, 252, 269, 9, 236, 251, 226, 136, 169]"
16,23,"[23, 35, 91, 6, 4, 107, 233, 220, 95, 138]","[23, 31, 5, 13, 4, 20, 89, 38, 127, 74]","[74, 127, 38, 89, 20, 4, 13, 5, 31, 23]","[23, 187, 171, 225, 16, 227, 176, 88, 194, 167]"
17,24,"[24, 241, 183, 223, 148, 20, 29, 55, 101, 205]","[24, 43, 181, 256, 251, 18, 121, 21, 129, 154]","[154, 129, 21, 121, 18, 251, 256, 181, 43, 24]","[24, 94, 93, 266, 79, 10, 118, 261, 230, 81]"
18,25,"[25, 62, 98, 40, 75, 192, 42, 238, 96, 186]","[137, 145, 78, 77, 76, 75, 146, 147, 72, 71]","[71, 72, 147, 146, 75, 76, 77, 78, 145, 137]","[25, 90, 161, 236, 20, 269, 252, 136, 27, 13]"
19,26,"[26, 163, 203, 249, 97, 96, 45, 187, 151, 85]","[26, 236, 246, 29, 158, 27, 209, 22, 88, 223]","[223, 88, 22, 209, 27, 158, 29, 246, 236, 26]","[26, 32, 158, 214, 155, 67, 84, 183, 89, 59]"
20,27,"[27, 18, 263, 121, 238, 83, 16, 218, 214, 175]","[27, 171, 207, 221, 209, 22, 176, 229, 89, 173]","[173, 89, 229, 176, 22, 209, 221, 207, 171, 27]","[27, 260, 35, 90, 25, 13, 73, 249, 247, 161]"
