id,uploadSum,0to1,1to2,2to3,3to4,4to5,5to6,6to7,7to8,8to9,9to10,10to11,11to12,12to13,13to14,14to15,15to16,16to17,17to18,18to19,19to20,20to21,21to22,22to23,23to24,0to1rate,1to2rate,2to3rate,3to4rate,4to5rate,5to6rate,6to7rate,7to8rate,8to9rate,9to10rate,10to11rate,11to12rate,12to13rate,13to14rate,14to15rate,15to16rate,16to17rate,17to18rate,18to19rate,19to20rate,20to21rate,21to22rate,22to23rate,23to24rate,dayRate,afternoonRate,nightRate,deepRate,timeType,caseNumFinish,avgUploadNum,avgScore,avgScoreIgnoreUndo,avgTimeSpan,uploadSumOfType0,avgUploadNumOfType0,avgUploadNumIgnoreUndoOfType0,avgScoreOfType0,avgScoreIgnoreUndoOfType0,uploadSumOfType1,avgUploadNumOfType1,avgUploadNumIgnoreUndoOfType1,avgScoreOfType1,avgScoreIgnoreUndoOfType1,uploadSumOfType2,avgUploadNumOfType2,avgUploadNumIgnoreUndoOfType2,avgScoreOfType2,avgScoreIgnoreUndoOfType2,uploadSumOfType3,avgUploadNumOfType3,avgUploadNumIgnoreUndoOfType3,avgScoreOfType3,avgScoreIgnoreUndoOfType3,uploadSumOfType4,avgUploadNumOfType4,avgUploadNumIgnoreUndoOfType4,avgScoreOfType4,avgScoreIgnoreUndoOfType4,uploadSumOfType5,avgUploadNumOfType5,avgUploadNumIgnoreUndoOfType5,avgScoreOfType5,avgScoreIgnoreUndoOfType5,uploadSumOfType6,avgUploadNumOfType6,avgUploadNumIgnoreUndoOfType6,avgScoreOfType6,avgScoreIgnoreUndoOfType6,uploadSumOfType7,avgUploadNumOfType7,avgUploadNumIgnoreUndoOfType7,avgScoreOfType7,avgScoreIgnoreUndoOfType7,finishRateOfType0,finishRateOfType1,finishRateOfType2,finishRateOfType3,finishRateOfType4,finishRateOfType5,finishRateOfType6,finishRateOfType7,userAbility,userAbilityOfType0,userAbilityOfType1,userAbilityOfType2,userAbilityOfType3,userAbilityOfType4,userAbilityOfType5,userAbilityOfType6,userAbilityOfType7
2,203,0,0,0,0,0,0,0,0,11,105,12,27,2,0,0,1,1,7,4,1,2,30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054187192118226604,0.5172413793103449,0.059113300492610835,0.1330049261083744,0.009852216748768471,0.0,0.0,0.0049261083743842365,0.0049261083743842365,0.03448275862068965,0.019704433497536943,0.0049261083743842365,0.009852216748768471,0.1477832512315271,0.0,0.0,0.7635467980295567,0.054187192118226604,0.18226600985221675,0.0,0,191,1.06282722513089,95.45,99.9476439790576,232.71020942408376,13,1.0833333333333333,1.0833333333333333,100.0,100.0,35,1.1666666666666667,1.25,93.33333333333331,100.0,12,0.8571428571428571,1.2,71.42857142857143,100.0,29,1.0,1.0,100.0,100.0,36,1.0285714285714285,1.0588235294117647,97.14285714285714,100.0,17,0.9444444444444444,1.0,94.44444444444444,100.0,34,1.0625,1.0625,100.0,100.0,53,1.0,1.06,94.15094339622641,99.8,1.0,0.9333333333333332,0.7142857142857143,1.0,0.9714285714285714,0.9444444444444444,1.0,0.9433962264150944,78.69602273001881,82.29140373778381,76.77148396643851,60.10591210283195,88.71363112913455,79.25646017146087,78.56318392268835,84.33104557415895,79.53506123565357
3,270,0,0,0,0,0,0,0,0,2,12,3,2,0,4,3,2,7,13,2,59,0,0,129,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007407407407407408,0.04444444444444445,0.011111111111111113,0.007407407407407408,0.0,0.014814814814814815,0.011111111111111113,0.007407407407407408,0.025925925925925925,0.04814814814814815,0.007407407407407408,0.21851851851851853,0.0,0.0,0.4777777777777778,0.11851851851851852,0.07037037037037037,0.1074074074074074,0.8222222222222222,0.0,2,196,1.3775510204081634,92.35555,94.24035714285715,524.5134353741496,19,1.5833333333333333,1.5833333333333333,87.5,87.5,39,1.3,1.3448275862068966,90.83333333333331,93.96551724137932,23,1.6428571428571428,1.9166666666666667,82.14285714285714,95.83333333333331,67,2.3103448275862073,2.3103448275862073,98.73551724137931,98.73551724137931,38,1.0857142857142856,1.0857142857142856,100.0,100.0,19,1.0555555555555556,1.0555555555555556,97.22222222222223,97.22222222222223,47,1.46875,1.46875,88.28125,88.28125,60,1.1320754716981132,1.1764705882352942,88.44867924528303,91.91725490196079,1.0,0.9666666666666668,0.8571428571428571,1.0,1.0,1.0,1.0,0.9622641509433962,81.46332246412115,81.02873582135086,79.76163677214292,75.40713245759022,88.43328482538578,81.77525876015213,83.5518333658588,82.13682031947994,79.61187739100852
4,232,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,38,78,55,4,0.04310344827586207,0.01293103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004310344827586207,0.0,0.0,0.1853448275862069,0.16379310344827586,0.3362068965517241,0.23706896551724135,0.017241379310344827,0.0,0.004310344827586207,0.9396551724137929,0.05603448275862069,2,190,1.2210526315789474,90.3389,95.09357894736841,3.5992982456140346,12,1.0,1.5,66.66666666666667,100.0,31,1.0333333333333334,1.1071428571428572,85.83333333333333,91.96428571428572,13,0.9285714285714286,1.181818181818182,71.42857142857143,90.9090909090909,34,1.1724137931034482,1.2142857142857142,86.20689655172414,89.2857142857143,44,1.2571428571428571,1.2571428571428571,100.0,100.0,20,1.1111111111111112,1.1111111111111112,100.0,100.0,45,1.40625,1.5,91.40625,97.5,57,1.0754716981132075,1.1176470588235294,88.07132075471701,91.52509803921569,0.6666666666666666,0.9333333333333332,0.7857142857142857,0.9655172413793104,1.0,1.0,0.9375,0.9622641509433962,75.97930453391842,54.1750476242551,76.73002706219809,68.69449595330322,84.13229489605769,81.77525876015213,84.49560571925068,78.0338992787833,79.7978069773471
5,235,3,0,0,0,0,0,0,0,0,0,6,5,0,2,3,2,0,10,2,0,153,0,49,0,0.01276595744680851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02553191489361702,0.02127659574468085,0.0,0.00851063829787234,0.01276595744680851,0.00851063829787234,0.0,0.0425531914893617,0.00851063829787234,0.0,0.6510638297872341,0.0,0.20851063829787236,0.0,0.04680851063829787,0.07234042553191489,0.8680851063829788,0.01276595744680851,2,196,1.1989795918367347,90.5889,92.43765306122448,25.90416666666667,20,1.6666666666666667,1.6666666666666667,94.16666666666669,94.16666666666669,37,1.2333333333333334,1.2758620689655171,90.83333333333331,93.96551724137932,21,1.5,1.75,75.0,87.5,36,1.2413793103448276,1.2857142857142858,86.89655172413794,90.0,38,1.0857142857142856,1.0857142857142856,100.0,100.0,18,1.0,1.0,100.0,100.0,35,1.09375,1.09375,82.03125,82.03125,66,1.2452830188679245,1.2692307692307692,89.58075471698116,91.30346153846158,1.0,0.9666666666666668,0.8571428571428571,0.9655172413793104,1.0,1.0,1.0,0.981132075471698,81.05499423655588,81.54463050178248,79.76163677214292,74.44943943368234,83.76269897891943,81.77525876015213,84.49560571925068,81.38858960753034,81.26209411898672
6,277,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,3,6,4,2,51,11,103,46,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010830324909747292,0.1299638989169675,0.0,0.0,0.0,0.010830324909747292,0.021660649819494584,0.01444043321299639,0.007220216606498195,0.184115523465704,0.03971119133574008,0.37184115523465705,0.16606498194945848,0.04332129963898917,0.14079422382671478,0.04693140794223827,0.8122743682310469,0.0,2,200,1.385,97.18335,97.18335,165.61675000000002,19,1.5833333333333333,1.5833333333333333,94.16666666666669,94.16666666666669,45,1.5,1.5,94.16666666666669,94.16666666666669,36,2.571428571428572,2.571428571428572,96.42857142857143,96.42857142857143,53,1.827586206896552,1.827586206896552,99.3103448275862,99.3103448275862,40,1.1428571428571428,1.1428571428571428,100.0,100.0,22,1.2222222222222223,1.2222222222222223,100.0,100.0,38,1.1875,1.1875,97.03125,97.03125,69,1.30188679245283,1.30188679245283,94.84283018867924,94.84283018867924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84.59235111628132,81.54463050178248,83.28238318968386,89.57031716545491,88.58640362139361,81.77525876015213,84.49560571925068,83.84664400137672,83.63756597115612
8,33,9,2,1,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,2,2,0,1,4,0.2727272727272727,0.060606060606060615,0.030303030303030307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030307,0.30303030303030304,0.030303030303030307,0.0,0.0,0.0,0.0,0.060606060606060615,0.060606060606060615,0.0,0.030303030303030307,0.12121212121212123,0.0,0.3636363636363637,0.2727272727272727,0.3636363636363637,1,19,1.7368421052631582,8.0,84.21052631578948,75.50701754385965,0,0.0,-0.0,0.0,-0.0,0,0.0,-0.0,0.0,-0.0,0,0.0,-0.0,0.0,-0.0,0,0.0,-0.0,0.0,-0.0,0,0.0,-0.0,0.0,-0.0,25,1.3888888888888888,1.9230769230769231,55.555555555555564,76.92307692307692,0,0.0,-0.0,0.0,-0.0,8,0.1509433962264151,1.3333333333333333,11.320754716981131,100.0,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,0.0,0.11320754716981132,8.373544425220274,0.0,0.0,0.0,0.0,0.0,57.37241377661106,0.0,9.615941625151123
9,200,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,7,24,41,20,24,37,0.175,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.025,0.01,0.035,0.12,0.205,0.1,0.12,0.185,0.0,0.05,0.7649999999999999,0.185,2,183,1.0928961748633879,87.36664999999998,95.48267759562842,0.4753187613843353,12,1.0,1.0,91.66666666666669,91.66666666666669,31,1.0333333333333334,1.0333333333333334,90.66666666666669,90.66666666666669,11,0.7857142857142857,1.1,60.35714285714285,84.5,19,0.6551724137931034,1.1875,47.12620689655172,85.41625,37,1.0571428571428572,1.0571428571428572,99.28571428571428,99.28571428571428,18,1.0,1.0588235294117647,79.815,84.51,39,1.21875,1.21875,100.0,100.0,56,1.0566037735849056,1.0566037735849056,100.0,100.0,1.0,1.0,0.7142857142857143,0.5517241379310345,1.0,0.9444444444444444,1.0,1.0,74.80675888514644,80.88268941614906,82.46564374754847,60.57331541237641,47.19761474348341,81.65576613392739,76.78574338155036,84.33104557415895,84.56225267197748
10,39,0,0,0,0,0,0,0,0,0,2,9,5,1,1,2,2,3,0,2,3,1,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.2307692307692308,0.1282051282051282,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.05128205128205128,0.07692307692307693,0.0,0.05128205128205128,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.05128205128205128,0.10256410256410256,0.41025641025641024,0.2307692307692308,0.3589743589743589,0.0,0,37,1.054054054054054,17.9,96.75675675675676,0.14864864864864866,1,0.08333333333333333,1.0,8.333333333333334,100.0,8,0.26666666666666666,1.1428571428571428,23.33333333333333,100.0,0,0.0,-0.0,0.0,-0.0,2,0.06896551724137931,1.0,3.4482758620689653,50.0,13,0.37142857142857133,1.0833333333333333,34.285714285714285,100.0,1,0.05555555555555555,1.0,5.5555555555555545,100.0,0,0.0,-0.0,0.0,-0.0,21,0.3962264150943397,1.05,37.35849056603774,99.0,0.08333333333333333,0.2333333333333333,0.0,0.06896551724137931,0.3428571428571429,0.05555555555555555,0.0,0.37735849056603776,11.74358502671265,7.652260361163242,18.225838218518007,0.0,5.677065929309408,27.193730424092738,4.259284395748151,0.0,30.94050088486965
11,304,6,2,6,6,7,0,0,0,0,0,0,1,5,3,6,21,38,28,24,52,34,47,9,9,0.01973684210526316,0.006578947368421052,0.01973684210526316,0.01973684210526316,0.023026315789473683,0.0,0.0,0.0,0.0,0.0,0.0,0.003289473684210526,0.01644736842105263,0.009868421052631578,0.01973684210526316,0.06907894736842106,0.125,0.09210526315789473,0.07894736842105263,0.17105263157894735,0.1118421052631579,0.15460526315789475,0.02960526315789473,0.02960526315789473,0.003289473684210526,0.3322368421052632,0.575657894736842,0.08881578947368421,2,192,1.5833333333333333,93.7,97.60416666666669,35.21718749999999,14,1.1666666666666667,1.1666666666666667,100.0,100.0,49,1.6333333333333333,1.6333333333333333,97.33333333333331,97.33333333333331,14,1.0,1.4,65.71428571428571,92.0,46,1.5862068965517242,1.9166666666666667,73.10344827586206,88.33333333333331,45,1.2857142857142858,1.2857142857142858,100.0,100.0,27,1.5,1.5,94.44444444444444,94.44444444444444,56,1.75,1.75,100.0,100.0,83,1.5660377358490567,1.5660377358490567,100.0,100.0,1.0,1.0,0.7142857142857143,0.8275862068965517,1.0,1.0,1.0,1.0,78.87466571412357,82.29140373778381,82.98760833566938,60.67039393290502,71.2126004640188,81.77525876015213,83.16676223632288,84.33104557415895,84.56225267197748
13,200,0,0,0,0,0,0,0,0,0,0,1,7,9,17,2,11,8,16,16,47,5,16,36,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.035,0.045,0.085,0.01,0.055,0.04,0.08,0.08,0.235,0.025,0.08,0.18,0.045,0.04,0.315,0.6450000000000001,0.0,2,135,1.4814814814814814,64.3643,95.35451851851852,236.20111111111112,30,2.5,2.5,100.0,100.0,35,1.1666666666666667,1.206896551724138,96.66666666666669,100.0,18,1.2857142857142858,1.6363636363636365,72.85714285714286,92.72727272727272,46,1.5862068965517242,1.6428571428571428,86.20689655172414,89.2857142857143,53,1.5142857142857142,1.5142857142857142,100.0,100.0,22,1.2222222222222223,1.2222222222222223,100.0,100.0,17,0.53125,1.3076923076923077,34.776875000000004,85.6046153846154,15,0.2830188679245283,1.5,17.735849056603772,94.0,1.0,0.9666666666666668,0.7857142857142857,0.9655172413793104,1.0,1.0,0.40625,0.18867924528301888,66.07610268079718,82.29140373778381,80.29223038397953,67.82488904539454,83.84713171665031,81.77525876015213,84.49560571925068,33.14980206138008,14.932500021786394
