id,uploadSum,0to1,1to2,2to3,3to4,4to5,5to6,6to7,7to8,8to9,9to10,10to11,11to12,12to13,13to14,14to15,15to16,16to17,17to18,18to19,19to20,20to21,21to22,22to23,23to24,0to1rate,1to2rate,2to3rate,3to4rate,4to5rate,5to6rate,6to7rate,7to8rate,8to9rate,9to10rate,10to11rate,11to12rate,12to13rate,13to14rate,14to15rate,15to16rate,16to17rate,17to18rate,18to19rate,19to20rate,20to21rate,21to22rate,22to23rate,23to24rate
2,203,0,0,0,0,0,0,0,0,11,105,12,27,2,0,0,1,1,7,4,1,2,30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054187192118226604,0.5172413793103449,0.059113300492610835,0.1330049261083744,0.009852216748768473,0.0,0.0,0.0049261083743842365,0.0049261083743842365,0.034482758620689655,0.019704433497536946,0.0049261083743842365,0.009852216748768473,0.1477832512315271,0.0,0.0
3,270,0,0,0,0,0,0,0,0,2,12,3,2,0,4,3,2,7,13,2,59,0,0,129,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007407407407407408,0.044444444444444446,0.011111111111111112,0.007407407407407408,0.0,0.014814814814814815,0.011111111111111112,0.007407407407407408,0.025925925925925925,0.04814814814814815,0.007407407407407408,0.21851851851851853,0.0,0.0,0.4777777777777778,0.11851851851851852
4,232,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,38,78,55,4,0.04310344827586207,0.01293103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004310344827586207,0.0,0.0,0.1853448275862069,0.16379310344827586,0.33620689655172414,0.23706896551724138,0.017241379310344827
5,235,3,0,0,0,0,0,0,0,0,0,6,5,0,2,3,2,0,10,2,0,153,0,49,0,0.01276595744680851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02553191489361702,0.02127659574468085,0.0,0.00851063829787234,0.01276595744680851,0.00851063829787234,0.0,0.0425531914893617,0.00851063829787234,0.0,0.6510638297872341,0.0,0.20851063829787234,0.0
6,277,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,3,6,4,2,51,11,103,46,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010830324909747292,0.1299638989169675,0.0,0.0,0.0,0.010830324909747292,0.021660649819494584,0.01444043321299639,0.007220216606498195,0.18411552346570398,0.039711191335740074,0.37184115523465705,0.16606498194945848,0.04332129963898917
8,33,9,2,1,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,2,2,0,1,4,0.2727272727272727,0.06060606060606061,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.30303030303030304,0.030303030303030304,0.0,0.0,0.0,0.0,0.06060606060606061,0.06060606060606061,0.0,0.030303030303030304,0.12121212121212122
9,200,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,7,24,41,20,24,37,0.175,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.025,0.01,0.035,0.12,0.205,0.1,0.12,0.185
10,39,0,0,0,0,0,0,0,0,0,2,9,5,1,1,2,2,3,0,2,3,1,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.23076923076923078,0.1282051282051282,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.05128205128205128,0.07692307692307693,0.0,0.05128205128205128,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.05128205128205128,0.10256410256410256
11,304,6,2,6,6,7,0,0,0,0,0,0,1,5,3,6,21,38,28,24,52,34,47,9,9,0.019736842105263157,0.006578947368421052,0.019736842105263157,0.019736842105263157,0.023026315789473683,0.0,0.0,0.0,0.0,0.0,0.0,0.003289473684210526,0.01644736842105263,0.009868421052631578,0.019736842105263157,0.06907894736842106,0.125,0.09210526315789473,0.07894736842105263,0.17105263157894737,0.1118421052631579,0.15460526315789475,0.029605263157894735,0.029605263157894735
13,200,0,0,0,0,0,0,0,0,0,0,1,7,9,17,2,11,8,16,16,47,5,16,36,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.035,0.045,0.085,0.01,0.055,0.04,0.08,0.08,0.235,0.025,0.08,0.18,0.045
16,340,63,55,12,0,0,0,0,1,2,0,5,7,5,9,11,4,21,12,13,20,13,13,25,49,0.18529411764705883,0.16176470588235295,0.03529411764705882,0.0,0.0,0.0,0.0,0.0029411764705882353,0.0058823529411764705,0.0,0.014705882352941176,0.020588235294117647,0.014705882352941176,0.026470588235294117,0.03235294117647059,0.011764705882352941,0.061764705882352944,0.03529411764705882,0.03823529411764706,0.058823529411764705,0.03823529411764706,0.03823529411764706,0.07352941176470588,0.14411764705882352
18,193,9,13,19,18,2,0,0,0,0,0,0,0,0,2,4,6,5,6,14,15,19,21,16,24,0.046632124352331605,0.06735751295336788,0.09844559585492228,0.09326424870466321,0.010362694300518135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010362694300518135,0.02072538860103627,0.031088082901554404,0.025906735751295335,0.031088082901554404,0.07253886010362694,0.07772020725388601,0.09844559585492228,0.10880829015544041,0.08290155440414508,0.12435233160621761
19,268,7,6,29,26,17,0,0,0,4,16,10,10,4,11,18,18,11,17,4,10,20,14,9,7,0.026119402985074626,0.022388059701492536,0.10820895522388059,0.09701492537313433,0.06343283582089553,0.0,0.0,0.0,0.014925373134328358,0.05970149253731343,0.03731343283582089,0.03731343283582089,0.014925373134328358,0.041044776119402986,0.06716417910447761,0.06716417910447761,0.041044776119402986,0.06343283582089553,0.014925373134328358,0.03731343283582089,0.07462686567164178,0.05223880597014925,0.033582089552238806,0.026119402985074626
