id,uploadSum,0to1,1to2,2to3,3to4,4to5,5to6,6to7,7to8,8to9,9to10,10to11,11to12,12to13,13to14,14to15,15to16,16to17,17to18,18to19,19to20,20to21,21to22,22to23,23to24
2,203,0,0,0,0,0,0,0,0,11,105,12,27,2,0,0,1,1,7,4,1,2,30,0,0
3,270,0,0,0,0,0,0,0,0,2,12,3,2,0,4,3,2,7,13,2,59,0,0,129,32
4,232,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,38,78,55,4
5,235,3,0,0,0,0,0,0,0,0,0,6,5,0,2,3,2,0,10,2,0,153,0,49,0
6,277,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,3,6,4,2,51,11,103,46,12
8,33,9,2,1,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,2,2,0,1,4
9,200,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,7,24,41,20,24,37
10,39,0,0,0,0,0,0,0,0,0,2,9,5,1,1,2,2,3,0,2,3,1,2,2,4
11,304,6,2,6,6,7,0,0,0,0,0,0,1,5,3,6,21,38,28,24,52,34,47,9,9
13,200,0,0,0,0,0,0,0,0,0,0,1,7,9,17,2,11,8,16,16,47,5,16,36,9
16,340,63,55,12,0,0,0,0,1,2,0,5,7,5,9,11,4,21,12,13,20,13,13,25,49
18,193,9,13,19,18,2,0,0,0,0,0,0,0,0,2,4,6,5,6,14,15,19,21,16,24
19,268,7,6,29,26,17,0,0,0,4,16,10,10,4,11,18,18,11,17,4,10,20,14,9,7
20,211,4,0,0,0,0,0,1,10,12,20,11,17,7,4,6,3,16,18,10,15,17,14,7,19
21,92,0,0,0,0,0,0,0,0,0,0,2,2,1,0,5,5,8,6,10,3,11,17,11,11
22,180,0,0,0,0,0,0,0,0,0,3,17,24,6,14,5,7,15,11,19,15,16,0,18,10
23,363,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,72,35,18,180,37,4
24,37,0,0,0,0,0,0,0,0,4,4,2,7,3,0,0,0,0,4,1,0,0,3,4,5
25,213,4,11,8,3,1,0,0,0,0,8,12,22,15,6,4,15,14,19,3,7,21,26,9,5
26,980,0,0,0,0,0,0,0,2,23,78,124,141,157,52,17,47,109,61,94,4,9,21,33,8
27,179,13,11,12,8,0,0,0,0,0,2,8,9,1,4,7,5,7,5,15,13,18,9,8,24
29,506,0,0,0,0,0,0,0,34,22,64,92,48,2,1,5,10,8,11,4,5,12,100,59,29
30,561,0,0,0,0,0,0,0,0,6,48,99,115,9,67,27,17,36,37,0,1,0,27,40,32
31,225,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,67,27,64,14,1,47,1
32,1034,0,0,0,0,0,0,0,2,29,33,9,73,0,123,91,111,7,14,7,36,32,141,32,294
33,108,0,0,0,0,0,0,0,0,1,0,11,8,8,0,7,6,4,14,10,4,9,12,8,6
35,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,7,2,12,33,101,3,2
36,283,0,0,0,0,0,0,0,0,2,8,37,27,3,4,15,25,20,17,2,5,29,68,20,1
37,213,9,6,13,7,14,6,7,7,5,10,18,8,1,2,3,1,4,6,6,28,25,8,7,12
38,222,10,24,0,0,0,0,0,0,0,0,0,10,10,4,18,18,5,0,34,33,46,4,2,4
39,233,1,0,0,0,0,0,0,2,5,13,9,7,8,6,10,13,16,17,18,8,27,33,23,17
40,208,0,0,0,0,0,0,0,0,2,12,18,15,5,9,10,13,17,14,6,13,29,29,15,1
41,226,9,7,0,0,0,0,0,0,0,14,17,17,18,21,4,0,0,8,18,5,9,29,31,19
